Time,BS,Energy,load,ESMODE,TXpower
20230101 010000,B_0,64.27503737,0.48793617,0.0,7.1017189835
20230101 020000,B_0,55.90433483,0.344468085,0.0,7.1017189835
20230101 030000,B_0,57.6980568,0.193765957,0.0,7.1017189835
20230101 040000,B_0,55.15695067,0.222382979,0.0,7.1017189835
20230101 050000,B_0,56.05381166,0.17543617,0.0,7.1017189835
20230101 070000,B_0,82.95964126,0.351585106,0.0,7.1017189835
20230101 080000,B_0,91.03139013,0.759297872,0.0,7.1017189835
20230101 090000,B_0,78.17638266,0.887797872,0.0,7.1017189835
20230101 100000,B_0,72.64573991,0.624744681,0.0,7.1017189835
20230101 140000,B_0,66.66666667,0.437925532,0.0,7.1017189835
20230101 150000,B_0,67.56352765,0.403457447,0.0,7.1017189835
20230101 160000,B_0,72.64573991,0.428989362,0.0,7.1017189835
20230101 170000,B_0,88.04185351,0.5535,0.0,7.1017189835
20230101 180000,B_0,90.28400598,0.870180851,0.0,7.1017189835
20230101 190000,B_0,84.30493274,0.869765957,0.0,7.1017189835
20230101 200000,B_0,77.13004484,0.782329787,0.0,7.1017189835
20230101 210000,B_0,79.07324365,0.651031915,0.0,7.1017189835
20230101 220000,B_0,83.55754858,0.660244681,0.0,7.1017189835
20230102 000000,B_0,78.62481315,0.5007356795,0.0,7.1017189835
20230102 010000,B_0,63.82660688,0.4132649345,0.0,7.1017189835
20230102 020000,B_0,55.754858,0.21095212749999998,0.0,7.1017189835
20230102 030000,B_0,56.95067265,0.140123568,0.0,7.1017189835
20230102 040000,B_0,55.45590433,0.15444865,0.0,7.1017189835
20230102 050000,B_0,56.20328849,0.1335943125,0.0,7.1017189835
20230102 060000,B_0,65.17189836,0.149775573,0.0,7.1017189835
20230102 080000,B_0,89.83557549,0.5564032325,0.0,7.1017189835
20230102 090000,B_0,79.37219731,0.533371113,0.0,7.1017189835
20230102 100000,B_0,71.1509716,0.39506096549999997,0.0,7.1017189835
20230102 110000,B_0,74.28998505,0.31106669400000003,0.0,7.1017189835
20230102 120000,B_0,70.55306428,0.3700173895,0.0,7.1017189835
20230102 130000,B_0,71.59940209,0.302384411,0.0,7.1017189835
20230102 140000,B_0,74.88789238,0.325202946,0.0,7.1017189835
20230102 150000,B_0,70.85201794,0.3662477495,0.0,7.1017189835
20230102 160000,B_0,77.57847534,0.3183467675,0.0,7.1017189835
20230102 170000,B_0,84.75336323,0.43440527799999995,0.0,7.1017189835
20230102 180000,B_0,90.28400598,0.5413856385,0.0,7.1017189835
20230102 200000,B_0,76.83109118,0.425479746,0.0,7.1017189835
20230102 210000,B_0,79.37219731,0.39922299499999997,0.0,7.1017189835
20230102 220000,B_0,88.63976084,0.5002536825,0.0,7.1017189835
20230102 230000,B_0,82.36173393,0.5289404664999999,0.0,7.1017189835
20230103 000000,B_0,71.59940209,0.735914894,0.0,7.1017189835
20230103 010000,B_0,66.06875934,0.524085106,0.0,7.1017189835
20230103 020000,B_0,60.53811659,0.388031915,0.0,7.1017189835
20230103 030000,B_0,58.59491779,0.288095745,0.0,7.1017189835
20230103 040000,B_0,53.96113602,0.218287234,0.0,7.1017189835
20230103 050000,B_0,54.26008969,0.137925532,0.0,7.1017189835
20230103 060000,B_0,61.13602392,0.152574468,0.0,7.1017189835
20230103 070000,B_0,68.60986547,0.304819149,0.0,7.1017189835
20230103 080000,B_0,74.88789238,0.461553191,0.0,7.1017189835
20230103 090000,B_0,77.42899851,0.565914894,0.0,7.1017189835
20230103 100000,B_0,74.14050822,0.608712766,0.0,7.1017189835
20230103 110000,B_0,75.33632287,0.563180851,0.0,7.1017189835
20230103 120000,B_0,78.47533632,0.594,0.0,7.1017189835
20230103 130000,B_0,75.4857997,0.646446809,0.0,7.1017189835
20230103 140000,B_0,73.69207773,0.569723404,0.0,7.1017189835
20230103 150000,B_0,74.28998505,0.547106383,0.0,7.1017189835
20230103 160000,B_0,76.83109118,0.563361702,0.0,7.1017189835
20230103 170000,B_0,84.00597907,0.610382979,0.0,7.1017189835
20230103 180000,B_0,85.94917788,0.777351064,0.0,7.1017189835
20230103 190000,B_0,78.92376682,0.803765957,0.0,7.1017189835
20230103 200000,B_0,79.8206278,0.681085106,0.0,7.1017189835
20230103 210000,B_0,85.94917788,0.714510638,0.0,7.1017189835
20230103 220000,B_0,87.29446936,0.857829787,0.0,7.1017189835
20230103 230000,B_0,82.36173393,0.833202128,0.0,7.1017189835
20230104 000000,B_0,71.1509716,0.760776596,0.0,7.1017189835
20230104 010000,B_0,63.97608371,0.502840426,0.0,7.1017189835
20230104 030000,B_0,57.6980568,0.27387234,0.0,7.1017189835
20230104 060000,B_0,56.80119581,0.21662766,0.0,7.1017189835
20230104 070000,B_0,61.88340807,0.217531915,0.0,7.1017189835
20230104 080000,B_0,65.17189836,0.319361702,0.0,7.1017189835
20230104 100000,B_0,72.79521674,0.547265957,0.0,7.1017189835
20230104 110000,B_0,76.98056801,0.555723404,0.0,7.1017189835
20230104 120000,B_0,78.02690583,0.638425532,0.0,7.1017189835
20230104 140000,B_0,75.33632287,0.664861702,0.0,7.1017189835
20230104 150000,B_0,73.5426009,0.592212766,0.0,7.1017189835
20230104 160000,B_0,74.14050822,0.558925532,0.0,7.1017189835
20230104 170000,B_0,76.68161435,0.560542553,0.0,7.1017189835
20230104 180000,B_0,75.78475336,0.61387234,0.0,7.1017189835
20230104 190000,B_0,77.57847534,0.602382979,0.0,7.1017189835
20230104 200000,B_0,78.92376682,0.682010638,0.0,7.1017189835
20230104 210000,B_0,86.24813154,0.696648936,0.0,7.1017189835
20230104 220000,B_0,85.50074738,0.842457447,0.0,7.1017189835
20230104 230000,B_0,82.95964126,0.810180851,0.0,7.1017189835
20230105 000000,B_0,69.65620329,0.750308511,0.0,7.1017189835
20230105 010000,B_0,67.56352765,0.493989362,0.0,7.1017189835
20230105 030000,B_0,53.21375187,0.188957447,0.0,7.1017189835
20230105 100000,B_0,70.70254111,0.628808511,0.0,7.1017189835
20230105 120000,B_0,70.70254111,0.467095745,0.0,7.1017189835
20230105 160000,B_0,73.84155456,0.427468085,0.0,7.1017189835
20230105 170000,B_0,83.70702541,0.542117021,0.0,7.1017189835
20230105 190000,B_0,84.00597907,0.848223404,0.0,7.1017189835
20230105 200000,B_0,80.71748879,0.735734043,0.0,7.1017189835
20230105 210000,B_0,82.66068759,0.71637234,0.0,7.1017189835
20230105 230000,B_0,75.18684604,0.741765957,0.0,7.1017189835
20230106 000000,B_0,67.71300448,0.653223404,0.0,7.1017189835
20230106 030000,B_0,55.60538117,0.186117021,0.0,7.1017189835
20230106 040000,B_0,52.01793722,0.174638298,0.0,7.1017189835
20230106 050000,B_0,53.66218236,0.119542553,0.0,7.1017189835
20230106 070000,B_0,80.86696562,0.317244681,0.0,7.1017189835
20230106 090000,B_0,75.78475336,0.850031915,0.0,7.1017189835
20230106 100000,B_0,74.88789238,0.613840426,0.0,7.1017189835
20230106 110000,B_0,69.05829596,0.620670213,0.0,7.1017189835
20230106 150000,B_0,68.90881913,0.447840426,0.0,7.1017189835
20230106 160000,B_0,72.19730942,0.457297872,0.0,7.1017189835
20230106 170000,B_0,80.41853513,0.547021277,0.0,7.1017189835
20230106 180000,B_0,88.9387145,0.702255319,0.0,7.1017189835
20230106 190000,B_0,83.10911809,0.835542553,0.0,7.1017189835
20230106 200000,B_0,72.19730942,0.742882979,0.0,7.1017189835
20230107 060000,B_0,62.78026906,0.16956383,0.0,7.1017189835
20230107 090000,B_0,74.73841555,0.826404255,0.0,7.1017189835
20230107 150000,B_0,68.16143498,0.462776596,0.0,7.1017189835
20230107 170000,B_0,79.37219731,0.542659574,0.0,7.1017189835
20230107 230000,B_0,78.62481315,0.750819149,0.0,7.1017189835
20230101 010000,B_1,18.08669656,0.03477,0.0,6.87593423
20230101 030000,B_1,18.08669656,0.03788,0.0,6.87593423
20230101 040000,B_1,16.14349776,0.05517,0.0,6.87593423
20230101 050000,B_1,15.54559043,0.01864,0.0,6.87593423
20230101 060000,B_1,15.99402093,0.01075,0.0,6.87593423
20230101 070000,B_1,17.18983558,0.01618,0.0,6.87593423
20230101 080000,B_1,16.29297459,0.03033,0.0,6.87593423
20230101 100000,B_1,22.57100149,0.02809,0.0,6.87593423
20230101 110000,B_1,18.98355755,0.12346,0.0,6.87593423
20230101 120000,B_1,18.68460389,0.05386,0.0,6.87593423
20230101 130000,B_1,18.23617339,0.04682,0.0,6.87593423
20230101 140000,B_1,16.89088191,0.04255,0.0,6.87593423
20230101 150000,B_1,17.7877429,0.01953,0.0,6.87593423
20230101 160000,B_1,18.98355755,0.03742,0.0,6.87593423
20230101 170000,B_1,18.53512706,0.05198,0.0,6.87593423
20230101 180000,B_1,19.28251121,0.04388,0.0,6.87593423
20230101 190000,B_1,18.53512706,0.05424,0.0,6.87593423
20230101 200000,B_1,17.18983558,0.04428,0.0,6.87593423
20230101 210000,B_1,17.7877429,0.02556,0.0,6.87593423
20230101 220000,B_1,18.38565022,0.03628,0.0,6.87593423
20230101 230000,B_1,18.53512706,0.04565,0.0,6.87593423
20230102 000000,B_1,18.68460389,0.0532,0.0,6.87593423
20230102 010000,B_1,17.04035874,0.05558,0.0,6.87593423
20230102 020000,B_1,16.44245142,0.03034,0.0,6.87593423
20230102 030000,B_1,15.69506726,0.01944,0.0,6.87593423
20230102 040000,B_1,15.69506726,0.01053,0.0,6.87593423
20230102 050000,B_1,15.8445441,0.00996,0.0,6.87593423
20230102 060000,B_1,17.63826607,0.01044,0.0,6.87593423
20230102 070000,B_1,18.98355755,0.04142,0.0,6.87593423
20230102 080000,B_1,18.98355755,0.05571,0.0,6.87593423
20230102 090000,B_1,18.38565022,0.05459,0.0,6.87593423
20230102 100000,B_1,17.04035874,0.04757,0.0,6.87593423
20230102 110000,B_1,17.18983558,0.0212,0.0,6.87593423
20230102 120000,B_1,17.33931241,0.02383,0.0,6.87593423
20230102 140000,B_1,17.33931241,0.02888,0.0,6.87593423
20230102 160000,B_1,17.04035874,0.025,0.0,6.87593423
20230102 170000,B_1,17.33931241,0.01941,0.0,6.87593423
20230102 190000,B_1,18.98355755,0.0335,0.0,6.87593423
20230102 200000,B_1,18.23617339,0.05778,0.0,6.87593423
20230102 210000,B_1,17.33931241,0.04152,0.0,6.87593423
20230102 220000,B_1,17.7877429,0.02798,0.0,6.87593423
20230102 230000,B_1,17.48878924,0.0408,0.0,6.87593423
20230103 000000,B_1,17.48878924,0.03554,0.0,6.87593423
20230103 020000,B_1,16.44245142,0.02055,0.0,6.87593423
20230103 030000,B_1,16.14349776,0.02351,0.0,6.87593423
20230103 040000,B_1,15.8445441,0.01985,0.0,6.87593423
20230103 060000,B_1,15.69506726,0.01147,0.0,6.87593423
20230103 070000,B_1,18.08669656,0.0108,0.0,6.87593423
20230103 080000,B_1,19.88041854,0.04897,0.0,6.87593423
20230103 090000,B_1,16.59192825,0.078,0.0,6.87593423
20230103 100000,B_1,17.33931241,0.01806,0.0,6.87593423
20230103 110000,B_1,17.18983558,0.0299,0.0,6.87593423
20230103 120000,B_1,17.04035874,0.02491,0.0,6.87593423
20230103 150000,B_1,18.83408072,0.05232,0.0,6.87593423
20230103 160000,B_1,18.83408072,0.0546,0.0,6.87593423
20230103 190000,B_1,16.59192825,0.03952,0.0,6.87593423
20230103 200000,B_1,18.98355755,0.02086,0.0,6.87593423
20230103 210000,B_1,20.1793722,0.05496,0.0,6.87593423
20230103 220000,B_1,18.68460389,0.0702,0.0,6.87593423
20230104 000000,B_1,19.7309417,0.03639,0.0,6.87593423
20230104 020000,B_1,18.68460389,0.07411,0.0,6.87593423
20230104 050000,B_1,15.69506726,0.01117,0.0,6.87593423
20230104 060000,B_1,15.54559043,0.01315,0.0,6.87593423
20230104 070000,B_1,16.89088191,0.01023,0.0,6.87593423
20230104 100000,B_1,17.18983558,0.03079,0.0,6.87593423
20230104 110000,B_1,16.89088191,0.02481,0.0,6.87593423
20230104 130000,B_1,17.7877429,0.04849,0.0,6.87593423
20230104 140000,B_1,18.38565022,0.03439,0.0,6.87593423
20230104 150000,B_1,19.7309417,0.04458,0.0,6.87593423
20230104 170000,B_1,18.38565022,0.04056,0.0,6.87593423
20230104 180000,B_1,17.48878924,0.03832,0.0,6.87593423
